Feature,Importance
months_until_lease_end,0.8545619593298837
rent_to_sales_ratio,0.1263977188566526
avg_monthly_foot_traffic,0.004607890764937868
tenure_risk,0.0037153651636057973
high_rent_burden,0.0023284601824947793
risk_score,0.0007066819937307493
power_outages_this_month,0.0005361070433578873
lease_length_months,0.0004087185526064336
avg_monthly_sales_usd,0.0004064399662642662
financial_stress,0.0004049616877642666
unemployment_rate,0.00039961161760772545
resilience_score,0.00039758116727730105
foot_traffic_6mo_avg,0.00038383052598409096
sales_trend,0.00036665015750191266
sales_vs_property_avg,0.0003656609649555374
rent_ratio_6mo_avg,0.00031332123685989837
sales_trend_6mo,0.0002635857318411348
sales_3mo_avg,0.00021192179183514428
performance_under_stress,0.00020032177796536798
currency_volatility_impact,0.00018691081630374897
consumer_spending_index,0.00017839026840649923
property_churn_rate,0.00017630663593292716
consumer_confidence_index,0.00017563010625064383
rent_per_sqm_usd,0.00016530230357140587
category_churn_rate,0.00016435747845090133
sales_volatility,0.00015940653557644112
sales_6mo_avg,0.000148673117606319
wage_growth_pct,0.00014528516076054576
foot_traffic_trend_6mo,0.00013212392466436002
location_encoded,0.00013088579141176185
gdp_growth_pct,0.00012641969785104663
property_avg_rent_ratio,0.00011836201947342257
fuel_price_usd_per_liter,0.00010303254130668382
interest_rate_pct,9.687851991372296e-05
months_in_lease,9.590634015993486e-05
usd_inflation_zimbabwe_pct,8.314365027563491e-05
foot_traffic_3mo_avg,8.060719658460363e-05
ecommerce_growth_pct,7.882911401322197e-05
monthly_rent_usd,7.024797851766176e-05
late_payments_ytd,6.149271638171946e-05
location_churn_history,5.4259113373377205e-05
property_avg_sales,5.136770059205327e-05
category_avg_sales,5.083439118130619e-05
property_encoded,4.684656104947914e-05
square_footage_sqm,4.152273131837762e-05
retail_sector_growth_pct,3.462894820693408e-05
commercial_vacancy_rate_pct,2.327616254512396e-05
property_type_encoded,1.5811036220159296e-05
category_encoded,1.5695373734365322e-05
population_growth_pct,1.0777555239143026e-05
lease_renewal_approaching,0.0
poor_performance,0.0
payment_issues,0.0
